Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Duration_Years,Number_of_Open_Accounts,Had_Past_Default,Loan_Approval
35.0,107770.0,331.0,31580.0,28,13.0,0,0
52.0,,636.0,9012.0,5,14.0,0,1
56.0,160017.0,809.0,45310.0,19,13.0,1,1
52.0,41654.0,422.0,47966.0,17,7.0,1,0
30.0,73198.0,414.0,35636.0,2,3.0,1,1
43.0,148228.0,515.0,35112.0,22,9.0,1,0
32.0,61335.0,516.0,31984.0,9,6.0,0,0
68.0,43272.0,824.0,35806.0,27,9.0,0,1
18.0,32745.0,502.0,47007.0,4,14.0,0,0
42.0,49923.0,433.0,27276.0,1,10.0,1,1
36.0,185042.0,642.0,27576.0,16,12.0,1,0
62.0,186182.0,618.0,23961.0,25,9.0,1,1
35.0,103356.0,834.0,39652.0,23,12.0,1,0
34.0,56977.0,552.0,19827.0,20,1.0,0,0
21.0,,414.0,27613.0,15,8.0,1,1
47.0,96986.0,469.0,17390.0,28,3.0,1,0
28.0,66170.0,818.0,13486.0,28,14.0,0,1
47.0,199604.0,433.0,13522.0,15,12.0,1,1
59.0,57558.0,833.0,28830.0,27,3.0,0,0
58.0,81986.0,709.0,23908.0,5,12.0,0,1
28.0,37157.0,430.0,25390.0,4,4.0,0,0
67.0,101256.0,541.0,31452.0,22,6.0,0,1
61.0,121105.0,470.0,7766.0,26,12.0,1,1
52.0,48168.0,527.0,30420.0,13,11.0,0,0
27.0,88693.0,414.0,25195.0,24,3.0,0,1
64.0,67201.0,495.0,37154.0,8,6.0,0,1
38.0,49760.0,779.0,46235.0,18,12.0,0,0
41.0,169855.0,340.0,47136.0,20,11.0,1,1
28.0,66166.0,723.0,26698.0,2,4.0,1,1
47.0,91672.0,309.0,23808.0,24,4.0,0,1
27.0,140664.0,364.0,5006.0,7,1.0,0,0
47.0,102726.0,723.0,49361.0,27,13.0,0,1
63.0,40608.0,511.0,43788.0,28,7.0,0,1
63.0,190391.0,406.0,,6,6.0,1,0
45.0,177999.0,435.0,26992.0,11,8.0,0,1
35.0,130991.0,651.0,17959.0,15,10.0,0,0
42.0,78562.0,808.0,28564.0,25,10.0,1,0
42.0,88505.0,332.0,8147.0,24,13.0,1,0
23.0,94536.0,584.0,23920.0,8,12.0,1,0
69.0,52914.0,651.0,29009.0,16,10.0,0,1
28.0,60385.0,385.0,13586.0,23,9.0,0,1
,108360.0,511.0,18484.0,28,10.0,1,0
69.0,153768.0,717.0,40178.0,8,12.0,0,0
43.0,67106.0,670.0,32206.0,28,8.0,0,1
31.0,76465.0,681.0,12773.0,13,4.0,0,1
19.0,136010.0,783.0,9673.0,3,4.0,0,1
22.0,58564.0,373.0,17639.0,12,14.0,0,0
46.0,169701.0,581.0,15467.0,14,3.0,0,0
33.0,67068.0,798.0,37115.0,14,10.0,0,1
51.0,119496.0,696.0,24607.0,14,11.0,0,1
32.0,98313.0,621.0,34951.0,3,8.0,1,0
61.0,80656.0,739.0,48765.0,21,11.0,1,0
36.0,183450.0,822.0,43896.0,13,12.0,0,1
64.0,65276.0,387.0,49277.0,1,5.0,1,1
54.0,33300.0,487.0,10549.0,28,13.0,0,1
35.0,146423.0,650.0,11464.0,16,1.0,0,1
67.0,168078.0,651.0,19079.0,18,14.0,0,0
54.0,133665.0,347.0,16476.0,14,1.0,0,1
39.0,57001.0,592.0,49615.0,12,6.0,0,0
44.0,162228.0,694.0,22086.0,9,4.0,1,1
27.0,150137.0,393.0,45309.0,23,11.0,0,0
37.0,45271.0,699.0,20122.0,19,3.0,1,0
41.0,181958.0,772.0,21185.0,21,11.0,1,0
27.0,,735.0,17410.0,13,9.0,1,0
62.0,55650.0,,36251.0,14,8.0,0,1
64.0,90780.0,640.0,19977.0,25,2.0,1,0
66.0,95836.0,400.0,30710.0,17,6.0,0,1
21.0,35133.0,398.0,22337.0,6,8.0,0,1
32.0,55870.0,699.0,11416.0,12,11.0,0,1
23.0,125404.0,583.0,49278.0,16,13.0,0,1
59.0,38893.0,817.0,26407.0,1,,1,0
37.0,195475.0,359.0,47734.0,1,7.0,0,0
35.0,165251.0,747.0,33970.0,16,14.0,0,0
35.0,66508.0,654.0,36069.0,6,2.0,0,0
20.0,36551.0,553.0,6238.0,22,8.0,0,1
,177275.0,516.0,18410.0,29,1.0,1,1
29.0,38220.0,407.0,46506.0,12,13.0,1,0
65.0,137514.0,572.0,25662.0,14,11.0,0,1
36.0,173120.0,691.0,6917.0,16,10.0,0,0
50.0,170478.0,474.0,38434.0,19,1.0,0,1
